Name,Band number,Region,Address 1,Address 2,City,Province,Postal Code
Fort McKay First Nation,467,AB,PO BOX 5360,,FORT MCMURRAY,AB,T9H 3G4
Fort McMurray #468 First Nation,468,AB,"PO BOX 6130, STN MAIN",,FORT MCMURRAY,AB,T9H 4W1
Frog Lake,465,AB,GENERAL DELIVERY,,FROG LAKE,AB,T0A 1M0
Heart Lake,469,AB,PO BOX 447,,LAC LA BICHE,AB,T0A 2C0
Sturgeon Lake Cree Nation,455,AB,PO BOX 757,,VALLEYVIEW,AB,T0H 3N0
Beecher Bay,640,BC,4901B EAST SOOKE ROAD,,SOOKE,BC,V9Z 1B6
Binche Whut'en,730,BC,"204 Mandine Drive, PO Box 2039",,Fort St. James,BC,V0J 1P0
Blueberry River First Nations,547,BC,PO BOX 3009,,BUICK CREEK,BC,V0C 2R0
Bonaparte,686,BC,PO BOX 669,,CACHE CREEK,BC,V0K 1H0
Boothroyd,700,BC,PO BOX 70,,BOSTON BAR,BC,V0K 1C0
Douglas,561,BC,PO BOX 606,,MOUNT CURRIE,BC,V0N 2K0
Dzawada'enuxw First Nation,636,BC,GENERAL DELIVERY,,KINGCOME INLET,BC,V0N 2B0
Ehattesaht,634,BC,PO BOX 59,,ZEBALLOS,BC,V0P 2A0
Esk'etemc,711,BC,PO BOX 157,,ALKALI LAKE,BC,V0L 1B0
Kwikwasut'inuxw Haxwa'mis,625,BC,PO BOX 10,,ALERT BAY,BC,V0N 1A0
Kwikwetlem First Nation,560,BC,2 - 65 COLONY FARM ROAD,,COQUITLAM,BC,V3C 5X9
Lake Babine Nation,607,BC,PO BOX 879,,BURNS LAKE,BC,V0J 1E0
Lax Kw'alaams,674,BC,206 SHASHAAK STREET,,LAX KW'ALAAMS,BC,V0V 1H0
N'Quatqua,556,BC,PO BOX 88,,D'ARCY,BC,V0N 1L0
Nadleh Whuten,612,BC,PO BOX 36,,FORT FRASER,BC,V0J 1N0
Osoyoos,596,BC,1155 SEN POK CHIN BLVD,,OLIVER,BC,V0H 1T8
Pacheedaht First Nation,658,BC,"350 Kalaid Street, Box 170",,PORT RENFREW,BC,V0S 1K0
Shxw'ow'hamel First Nation,587,BC,58700A ST. ELMO ROAD,,HOPE,BC,V0X 1L2
Shxwha:y Village,570,BC,44680 SCHWEYEY ROAD,,CHILLIWACK,BC,V2R 5M5
Simpcw First Nation,691,BC,PO BOX 220,,BARRIERE,BC,V0E 1E0
Siska,706,BC,PO BOX 519,,LYTTON,BC,V0K 1Z0
Soowahlie,572,BC,4393 SOOWAHLIE ROAD,,CULTUS LAKE,BC,V2R 4Y2
Splatsin,600,BC,PO BOX 460,,ENDERBY,BC,V0E 1V0
Spuzzum,708,BC,"SITE 3,  C 11,  RR 1",,YALE,BC,V0K 2S0
Sq'ewlets,568,BC,PO BOX 76,,LAKE ERROCK,BC,V0M 1N0
Squamish,555,BC,PO BOX 86131,,NORTH VANCOUVER,BC,V7L 4J5
Squiala First Nation,574,BC,45005 SQUIALA ROAD,,CHILLIWACK,BC,V2P 7Z9
Stellat'en First Nation,613,BC,PO BOX 760,,FRASER LAKE,BC,V0J 1S0
Sts'ailes,559,BC,"4690 SALISH WAY, CHEHALIS ROAD",,AGASSIZ,BC,V0M 1A1
Stswecem'c Xgat'tem First Nation,723,BC,GENERAL DELIVERY,,DOG CREEK,BC,V0L 1J0
Ts'uubaa-asatx,643,BC,"313B DEER ROAD, PO BOX 159",,LAKE COWICHAN,BC,V0R 2G0
Tsal'alh,595,BC,SITE 3 BOX 76,,SHALALTH,BC,V0N 3C0
Tsartlip,653,BC,"PO BOX 70,  #1 Boatramp Road",,BRENTWOOD BAY,BC,V8M 1R3
Westbank First Nation,601,BC,201-515 HWY 97 SOUTH,,KELOWNA,BC,V1Z 3J2
Wet'suwet'en First Nation,725,BC,PO BOX 760,,BURNS LAKE,BC,V0J 1E0
Whispering Pines/Clinton,702,BC,615 WHISPERING PINES DRIVE,,KAMLOOPS,BC,V2B 8S4
Williams Lake First Nation,719,BC,2672 INDIAN DRIVE,,WILLIAMS LAKE,BC,V2G 5K9
Witset First Nation,530,BC,205 BEAVER ROAD,,SMITHERS,BC,V0J 2N1
Canupawakpa Dakota First Nation,289,MB,PO BOX 146,,PIPESTONE,MB,R0M 1T0
Chemawawin Cree Nation,309,MB,PO BOX 9,,EASTERVILLE,MB,R0C 0V0
Cross Lake Band of Indians,276,MB,PO BOX 10,,CROSS LAKE,MB,R0B 0J0
Dakota Plains,288,MB,PO BOX 1246,,PORTAGE LA PRAIRIE,MB,R1N 3J9
Dakota Tipi,295,MB,2020 DAKOTA DRIVE,,DAKOTA TIPI,MB,R1N 3X6
Little Grand Rapids,270,MB,PO BOX 129,,LITTLE GRAND RAPIDS,MB,R0B 0V0
Little Saskatchewan,274,MB,PO BOX 98,,GYPSUMVILLE,MB,R0C 1J0
Long Plain,287,MB,PO BOX 430,,PORTAGE LA PRAIRIE,MB,R1N 3B7
Manto Sipi Cree Nation,302,MB,PO BOX 97,,GOD'S RIVER,MB,R0B 0N0
Marcel Colomb First Nation,328,MB,PO BOX 1150,,LYNN LAKE,MB,R0B 0W0
Mathias Colomb,311,MB,PO BOX 135,,PUKATAWAGAN,MB,R0B 1G0
Misipawistik Cree Nation,310,MB,PO BOX 500,,GRAND RAPIDS,MB,R0C 1E0
Shamattawa First Nation,307,MB,PO BOX 210,,SHAMATTAWA,MB,R0B 1K0
Sioux Valley Dakota Nation,290,MB,PO BOX 38,,GRISWOLD,MB,R0M 0S0
Fort Folly,9,NB,PO BOX 1007,,DORCHESTER,NB,E4K 3V5
Indian Island,10,NB,61 INDIAN ISLAND DRIVE,,INDIAN ISLAND,NB,E4W 1S9
Kingsclear,11,NB,77 FRENCH VILLAGE RD,,KINGSCLEAR FIRST NATION,NB,E3E 1K3
Madawaska Maliseet First Nation,6,NB,1771 MAIN STREET,,MADAWASKA MALISEET FIRST NAT,NB,E7C 1W9
Metepenagiag Mi'kmaq Nation,14,NB,PO BOX 293,,METEPENAGIAG MI'KMAQ NATION,NB,E9E 2P2
Bear River,21,NS,PO BOX 210,,BEAR RIVER,NS,B0S 1B0
Eskasoni,23,NS,"PO BOX 7040, 63 MINI MALL DRIVE",,ESKASONI,NS,B1W 1A6
Glooscap First Nation,30,NS,159 SMITH ROAD,,HANTSPORT,NS,B0P 1P0
Membertou,26,NS,111 MEMBERTOU STREET,,SYDNEY,NS,B1S 2M9
Millbrook,27,NS,PO BOX 634,,TRURO,NS,B2N 5E5
Paqtnkek Mi'kmaw Nation,19,NS,"RR 1, 7 DILLAN STREET",,AFTON,NS,B0H 1A0
Pictou Landing,24,NS,"43 MAPLE STREET, RR #2 BOX 55 SITE 6",,TRENTON,NS,B0K 1X0
Potlotek First Nation,22,NS,12004 Highway 4,,CHAPEL ISLAND,NS,B0E 3B0
SIPEKNE'KATIK,25,NS,522 CHURCH STREET,,INDIAN BROOK,NS,B0N 1W0
Ka'a'gee Tu First Nation,768,NT,PO BOX 4428,,HAY RIVER,NT,X0E 1G3
Liidlii Kue First Nation,757,NT,PO BOX 469,,FORT SIMPSON,NT,X0E 0N0
Lutsel K'e Dene First Nation,764,NT,PO BOX 28,,LUTSEL K'E,NT,X0E 1A0
Nahanni Butte,766,NT,GENERAL DELIVERY,,NAHANNI BUTTE,NT,X0E 0N0
Animbiigoo Zaagi'igan Anishinaabek,194,ON,PO BOX 120,,BEARDMORE,ON,P0T 1G0
Anishinabe of Wauzhushk Onigum,153,ON,PO BOX 1850,,KENORA,ON,P9N 3X8
Anishnaabeg of Naongashiing,125,ON,PO BOX 335,,MORSON,ON,P0W 1J0
Aroland,242,ON,PO BOX 10,,AROLAND,ON,P0T 1B0
Atikameksheng Anishnawbek,224,ON,25 RESERVE ROAD,,NAUGHTON,ON,P0M 2M0
Attawapiskat,143,ON,PO BOX 248,,ATTAWAPISKAT,ON,P0L 1A0
Aundeck-Omni-Kaning,180,ON,"RR 1, COMP 21",,LITTLE CURRENT,ON,P0P 1K0
Chippewas of Rama First Nation,139,ON,200 - 5884 RAMA ROAD,,RAMA,ON,L3V 6H6
Chippewas of the Thames First Nation,166,ON,RR 1,,MUNCEY,ON,N0L 1Y0
Constance Lake,182,ON,P.O. Box 4000,,CONSTANCE LAKE,ON,P0L 1B0
Fort William,187,ON,200 - 90 ANEMKI PLACE,,FORT WILLIAM FIRST NATION,ON,P7J 1L3
Garden River First Nation,199,ON,"7 SHINGWAUK STREET, RR 4",,GARDEN RIVER,ON,P6A 6Z8
Ginoogaming First Nation,185,ON,PO BOX 89,,LONGLAC,ON,P0T 2A0
Grassy Narrows First Nation,149,ON,GENERAL DELIVERY,,GRASSY NARROWS,ON,P0X 1B0
Gull Bay,188,ON,"1186 MEMORIAL AVENUE, PO BOX 29100, MCINTYRE CENTRE",,THUNDER BAY,ON,P7B 6P9
Henvey Inlet First Nation,231,ON,295 PICKEREL RIVER RD,,PICKEREL,ON,P0G 1J0
Hiawatha First Nation,162,ON,123 Paudash Street,,HIAWATHA FIRST NATION,ON,K9J 0E6
Iskatewizaagegan #39 Independent First Nation,154,ON,GENERAL DELIVERY,,KEJICK,ON,P0X 1E0
Kasabonika Lake,210,ON,PO BOX 124,,KASABONIKA LAKE,ON,P0V 1Y0
Kee-Way-Win,325,ON,GENERAL DELIVERY,,KEEWAYWIN,ON,P0V 3G0
Kingfisher,212,ON,PO BOX 57,,KINGFISHER LAKE,ON,P0V 1Z0
North Spirit Lake,238,ON,GENERAL DELIVERY,,NORTH SPIRIT LAKE,ON,P0V 2G0
Northwest Angle No.33,151,ON,BOX 1490,,KENORA,ON,P9N 3X7
Ojibway Nation of Saugeen,258,ON,GENERAL DELIVERY,,SAVANT LAKE,ON,P0V 2S0
Shoal Lake No.40,155,ON,GENERAL DELIVERY,,KEJICK,ON,P0X 1E0
Wapekeka,206,ON,PO BOX 2,,WAPEKEKA,ON,P0V 1B0
Wasauksing First Nation,136,ON,PO BOX 250,,PARRY SOUND,ON,P2A 2X4
Washagamis Bay,235,ON,PO BOX 625,,KEEWATIN,ON,P0X 1C0
Wawakapewin,234,ON,PO BOX 477,,SIOUX LOOKOUT,ON,P8T 1A8
Cree Nation of Mistissini,75,QC,187 Main Street,,Mistissini,QC,G0W 1C0
Cree Nation of Nemaska,59,QC,32 Machishteewyaau Trail,,Nemaska,QC,J0Y 3B0
Cree Nation of Wemindji,60,QC,"16 BEAVER ROAD,  PO BOX 60",,WEMINDJI,QC,J0M 1L0
Eastmain,57,QC,"76 Nouchimi,  P.O. Box 90",,Eastmain,QC,J0M 1W0
Micmacs of Gesgapegiag,52,QC,100 PERRON BLVD,,GESGAPEGIAG,QC,G0C 1Y0
Mohawks of Kahnawake,70,QC,P.O. Box 720,,Kahnawake,QC,J0L 1B0
Mohawks of Kanesatake,69,QC,681 Ste-Philomene Street,,Kanesatake,QC,J0N 1E0
Montagnais de Pakua Shipi,88,QC,CP 178,,St-Augustin-Saguenay,QC,G0G 2R0
Montagnais de Unamen Shipu,84,QC,90 rue du Large,,La Romaine,QC,G0G 1M0
Naskapi Nation of Kawawachikamach,81,QC,P.O. Box 5111,,Kawawachikamach,QC,G0G 2Z0
Nation Anishnabe du Lac Simon,63,QC,"1026 Boulevard Cicip, CP 139",,Lac Simon,QC,J0Y 3M0
Nation Huronne Wendat,50,QC,255 place Chef-Michel-Laveau,,Wendake,QC,G0A 4V0
Odanak,72,QC,104 Rue Sibosis,,Odanak,QC,J0G 1H0
Ouje-Bougoumou Cree Nation,89,QC,"203 Opemisika Meskino Street, P.O. Box 1169",,Ouje-Bougoumou,QC,G0W 3C0
Birch Narrows First Nation,403,SK,GENERAL DELIVERY,,TURNOR LAKE,SK,S0M 3E0
Black Lake,359,SK,PO BOX 27,,BLACK LAKE,SK,S0J 0H0
Buffalo River Dene Nation,398,SK,GENERAL DELIVERY,,DILLON,SK,S0M 0S0
Canoe Lake Cree First Nation,394,SK,GENERAL DELIVERY,,CANOE NARROWS,SK,S0M 0K0
Carry The Kettle,378,SK,PO BOX 57,,SINTALUTA,SK,S0G 4N0
Clearwater River Dene,401,SK,PO BOX 5050,,CLEARWATER RIVER,SK,S0M 3H0
Cote First Nation 366,366,SK,PO BOX 1659,,KAMSACK,SK,S0A 1S0
Little Pine,340,SK,PO BOX 70,,PAYNTON,SK,S0M 2J0
Lucky Man,341,SK,103B PACKHAM AVENUE,,SASKATOON,SK,S7N 4K4
Makwa Sahgaiehcan First Nation,396,SK,PO BOX 340,,LOON LAKE,SK,S0M 1L0
Ministikwan Lake Cree Nation,397,SK,PO BOX 240,,ISLAND LAKE,SK,S0M 3G0
Pasqua First Nation #79,383,SK,PO BOX 79,,PASQUA,SK,S0G 5M0
Peepeekisis Cree Nation No.81,384,SK,PO BOX 518,,BALCARRES,SK,S0G 0C0
Pelican Lake,405,SK,PO BOX 399,,LEOVILLE,SK,S0J 1N0
Peter Ballantyne Cree Nation,355,SK,GENERAL DELIVERY,,PELICAN NARROWS,SK,S0P 0E0
Pheasant Rump Nakota,409,SK,PO BOX 238,,KISBEY,SK,S0C 1L0
Piapot,385,SK,GENERAL DELIVERY,,ZEHNER,SK,S0G 5K0
Zagime Anishinabek,364,SK,PO BOX 339,,GRENFELL,SK,S0G 2B0
Aishihik,490,YT,,,,,
Alexander,438,AB,PO BOX 3419,,MORINVILLE,AB,T8R 1S3
Alexis Nakota Sioux Nation,437,AB,PO BOX 7,,GLENEVIS,AB,T0E 0X0
Athabasca Chipewyan First Nation,463,AB,PO BOX 366,,FORT CHIPEWYAN,AB,T0P 1B0
Bearspaw,473,AB,PO BOX 40,,MORLEY,AB,T0L 1N0
Beaver First Nation,445,AB,PO BOX 270,,HIGH LEVEL,AB,T0H 1Z0
Beaver Lake Cree Nation,460,AB,PO BOX 960,,LAC LA BICHE,AB,T0A 2C0
Bigstone Cree Nation,458,AB,PO BOX 960,,WABASCA,AB,T0G 2K0
Blood,435,AB,PO BOX 60,,STANDOFF,AB,T0L 1Y0
Chiniki,433,AB,PO BOX 40,,MORLEY,AB,T0L 1N0
Chipewyan Prairie First Nation,470,AB,GENERAL DELIVERY,,CHARD,AB,T0P 1G0
Cold Lake First Nations,464,AB,PO BOX 1769,,COLD LAKE,AB,T9M 1P4
Dene Tha',448,AB,PO BOX 120,,CHATEH,AB,T0H 0S0
Driftpile Cree Nation,450,AB,PO BOX 30,,DRIFTPILE,AB,T0G 0V0
Duncan's First Nation,451,AB,PO BOX 148,,BROWNVALE,AB,T0H 0L0
Enoch Cree Nation #440,440,AB,PO BOX 29,,ENOCH,AB,T7X 3Y3
Ermineskin Tribe,443,AB,PO BOX 219,,MASKWACIS,AB,T0C 1N0
Horse Lake First Nation,449,AB,PO BOX 303,,HYTHE,AB,T0H 2C0
Kapawe'no First Nation,452,AB,PO BOX 10,,GROUARD,AB,T0G 1C0
Kehewin Cree Nation,466,AB,PO BOX 220,,KEHEWIN,AB,T0A 1C0
Little Red River Cree Nation,447,AB,PO BOX 30,,JOHN D'OR PRAIRIE,AB,T0H 3X0
Loon River Cree,476,AB,PO BOX 189,,RED EARTH CREEK,AB,T0G 1X0
Louis Bull,439,AB,PO BOX 130,,MASKWACIS,AB,T0C 1N0
Lubicon Lake,453,AB,PO BOX1351,,ISIDORE,AB,T0H 3B0
Mikisew Cree First Nation,461,AB,PO BOX 90,,FORT CHIPEWYAN,AB,T0P 1B0
Montana,442,AB,PO BOX 70,,MASKWACIS,AB,TOC 1N0
O'Chiese,431,AB,PO BOX 1570,,ROCKY MOUNTAIN HOUSE,AB,T4T 1B2
Paul,441,AB,PO BOX 89,,DUFFIELD,AB,T0E 0N0
Peerless Trout First Nation,478,AB,PO BOX 128,,PEERLESS LAKE,AB,T0G 2W0
Piikani Nation,436,AB,PO BOX 70,,BROCKET,AB,T0K 0H0
Saddle Lake Cree Nation,462,AB,PO BOX 100,,SADDLE LAKE,AB,T0A 3T0
Samson,444,AB,PO BOX 159,,MASKWACIS,AB,TOC 1NO
Sawridge First Nation,454,AB,PO BOX 326,,SLAVE LAKE,AB,T0G 2A0
Siksika Nation,430,AB,PO BOX 1100,,SIKSIKA,AB,T0J 3W0
Smith's Landing First Nation,477,AB,PO BOX 1470,,FORT SMITH,NT,X0E 0P0
Stoney,471,AB,PO BOX 40,,MORLEY,AB,T0L 1N0
Sucker Creek,456,AB,PO BOX 65,,ENILDA,AB,T0G 0W0
Sunchild First Nation,434,AB,PO BOX 747,,ROCKY MOUNTAIN HOUSE,AB,T4T 1A5
Swan River First Nation,457,AB,PO BOX 270,,KINUSO,AB,T0G 1K0
Tallcree Tribal Government,446,AB,PO BOX 100,,FORT VERMILION,AB,T0H 1N0
Tsuut'ina Nation,432,AB,200 - 9911 CHIILA BLVD SW,,TSUU T'INA,AB,T2W 6H6
Wesley,475,AB,PO BOX 40,,MORLEY,AB,T0L 1N0
Whitefish Lake,459,AB,GENERAL DELIVERY,,ATIKAMEG,AB,T0G 0C0
Woodland Cree First Nation,474,AB,GENERAL DELIVERY,,CADOTTE LAKE,AB,T0H 0N0
Akisqnuk First Nation,604,BC,3050 HIGHWAY 93 / 95,,WINDERMERE,BC,V0B 2L2
aqam Community,602,BC,7470 MISSION ROAD,,CRANBROOK,BC,V1C 7E5
Esdilagh First Nation,709,BC,4 - 9001 WEST FRASER RD,,QUESNEL,BC,V2J 6R4
Adams Lake,684,BC,PO BOX 588,,CHASE,BC,V0E 1M0
Ahousaht,659,BC,GENERAL DELIVERY,,AHOUSAHT,BC,V0R 1A0
Aitchelitz,558,BC,8161 AITCHELITZ ROAD,,CHILLIWACK,BC,V2R 4H4
Ashcroft,685,BC,PO BOX 440,,ASHCROFT,BC,V0K 1A0
Boston Bar First Nation,701,BC,PO BOX 369,,BOSTON BAR,BC,V0K 1C0
Bridge River,590,BC,PO BOX 190,,LILLOOET,BC,V0K 1V0
Burns Lake,619,BC,BAG 9000,,BURNS LAKE,BC,V0J 1E0
Campbell River,622,BC,1650 OLD SPIT ROAD,,CAMPBELL RIVER,BC,V9W 3E8
Canim Lake,713,BC,PO BOX 1030,,100 MILE HOUSE,BC,V0K 2E0
Cape Mudge,623,BC,690 HEADSTART CRES,,CAMPBELL RIVER,BC,V9H 1P9
Cayoose Creek,591,BC,PO BOX 484,,LILLOOET,BC,V0K 1V0
Chawathil,583,BC,4-60814 LOUGHEED HIGHWAY,,HOPE,BC,V0X 1L3
Cheam,584,BC,52161 Victor Drive,,Rosedale,BC,V0X 1X1
Cheslatta Carrier Nation,620,BC,PO BOX 909,,BURNS LAKE,BC,V0J 1E0
Coldwater,693,BC,PO BOX 4600,,MERRITT,BC,V1K 1B8
Cook's Ferry,694,BC,PO BOX 130,,SPENCES BRIDGE,BC,V0K 2L0
Cowichan,642,BC,5760 ALLENBY ROAD,,DUNCAN,BC,V9L 5J1
Da'naxda'xw First Nation,635,BC,PO BOX 330,,ALERT BAY,BC,V0N 1A0
Ditidaht,662,BC,PO BOX 340,,PORT ALBERNI,BC,V9Y 7M8
Doig River First Nation,548,BC,PO BOX 56,,ROSE PRAIRIE,BC,V0C 2H0
Esquimalt,644,BC,1189 KOSAPSUM CRESCENT,,VICTORIA,BC,V9A 7K7
Fort Nelson First Nation,543,BC,"MILE 295 ALASKA HWY,  RR 1",,FORT NELSON,BC,V0C 1R0
Gitanmaax,531,BC,PO BOX 440,,HAZELTON,BC,V0J 1Y0
Gitanyow,537,BC,PO BOX 340,,KITWANGA,BC,V0J 2A0
Gitga'at First Nation,675,BC,"GENERAL DELIVERY, 445 HAYIMIISAXAA WAY",,HARTLEY BAY,BC,V0V 1A0
Gitsegukla,535,BC,710 RAY CHARLES AVE,,GITSEGUKLA,BC,V0J 2J3
Gitwangak,536,BC,PO BOX 400,,KITWANGA,BC,V0J 2A0
Gitxaala Nation,672,BC,PO BOX 149,,KITKATLA,BC,V0V 1C0
Glen Vowell,533,BC,9500 SIK-E-DAKH RD,,SIK-E-DAKH,BC,V0J 1Y3
Gwa'Sala-Nakwaxda'xw,724,BC,PO BOX 998,,PORT HARDY,BC,V0N 2P0
Gwawaenuk Tribe,627,BC,PO BOX 344,,PORT MCNEIL,BC,V0N 2R0
Hagwilget First Nation Government,534,BC,PO BOX 460,,NEW HAZELTON,BC,V0J 2J0
Haisla Nation,676,BC,PO BOX 1101,,HAISLA,BC,V0T 2B0
Halalt,645,BC,"7973 CHEMAINUS ROAD,  RR 5",,CHEMAINUS,BC,V0R 1K5
Halfway River First Nation,546,BC,PO BOX 59,,WONOWON,BC,V0C 2N0
Heiltsuk,538,BC,PO BOX 880,,BELLA BELLA,BC,V0T 1Z0
Hesquiaht,661,BC,PO BOX 2000,,TOFINO,BC,V0R 2Z0
High Bar,703,BC,PO BOX 458,,CLINTON,BC,V0K 1K0
Homalco,552,BC,1218 BUTE CRESCENT,,CAMPBELL RIVER,BC,V9H 1G5
Hupacasath First Nation,664,BC,PO BOX 211,,PORT ALBERNI,BC,V9Y 7M7
Huu-ay-aht First Nations,663,BC,"HUU-AY-AHT TREATY OFFICE, 3483 3RD AVE",,PORT ALBERNI,BC,V9Y 4E4
Iskut,683,BC,PO BOX 30,,ISKUT,BC,V0J 1K0
Komoks First Nation,624,BC,3330 COMOX ROAD,,COURTENAY,BC,V9N 3P8
Kyuquot/Cheklesahht First Nations,638,BC,GENERAL DELIVERY,,KYUQUOT,BC,V0P 1J0
Kanaka Bar,704,BC,"PO BOX 610, 2693 SIWASH ROAD",,LYTTON,BC,V0K 1Z0
Katzie,563,BC,10946 KATZIE ROAD,,PITT MEADOWS,BC,V3Y 2G6
Kispiox,532,BC,1336 KISPIOX VALLEY ROAD,,KISPIOX,BC,V0J 1Y4
Kitasoo,540,BC,GENERAL DELIVERY,,KLEMTU,BC,V0T 1L0
Kitselas,680,BC,2225 GITAUS ROAD,,TERRACE,BC,V8G 0A9
Kitsumkalum,681,BC,PO BOX 544,,TERRACE,BC,V8G 4B5
Klahoose First Nation,553,BC,"PO BOX 9, CORTES ISLAND",,SQUIRREL COVE,BC,V0P 1T0
Kwadacha,610,BC,497 - 3RD AVENUE,,PRINCE GEORGE,BC,V2L 3C1
Kwakiutl,626,BC,PO BOX 1440,,PORT HARDY,BC,V0N 2P0
Kwantlen First Nation,564,BC,"23690 GABRIEL LANE,  PO BOX 108",,FORT LANGLEY,BC,V1M 2R4
Kwaw-kwaw-Apilt,580,BC,"BLDG#10 3RD FLOOR,  7201 VEDDER RD",,CHILLIWACK,BC,V2R 4L9
Kwiakah,628,BC,"PO BOX 437, STATION A",,CAMPBELL RIVER,BC,V9W 5B6
Leq'a:mel First Nation,579,BC,43101 LEQ'A: MEL WAY,,DEROCHE,BC,V0M 1G0
Lheidli T'enneh,611,BC,1041 WHENUN ROAD,,PRINCE GEORGE,BC,V2K 5X8
Lhoosk'uz Dene Nation,721,BC,PO BOX 4339,,QUESNEL,BC,V2J 3J8
Lhtako Dene Nation,715,BC,PO BOX 4069,,QUESNEL,BC,V2J 3J2
Lil'wat Nation,557,BC,PO BOX 602,,MOUNT CURRIE,BC,V0N 2K0
Little Shuswap Lake,689,BC,1886 LITTLE SHUSWAP LAKE ROAD,,CHASE,BC,V0E 1M2
Lower Kootenay,606,BC,830 SIMON ROAD,,CRESTON,BC,V0B 1G2
Lower Nicola,695,BC,181 NAWISHASKIN LANE,,MERRITT,BC,V1K 0A7
Lower Similkameen,598,BC,"517TH AVENUE, PO BOX 100",,KEREMEOS,BC,V0X 1N0
Lyackson,646,BC,7973A CHEMAINUS ROAD,,CHEMAINUS,BC,V0R 1K5
Lytton,705,BC,PO BOX 20,,LYTTON,BC,V0K 1Z0
Malahat Nation,647,BC,"110 THUNDER ROAD,  RR 4",,MILL BAY,BC,V0R 2P4
Mamalilikulla First Nation,629,BC,1441-B 16TH AVENUE,,CAMPBELL RIVER,BC,V9W 2E4
Matsqui First Nation,565,BC,PO BOX 10,,MATSQUI,BC,V4X 3R2
McLeod Lake,618,BC,GENERAL DELIVERY,,MCLEOD LAKE,BC,V0J 2G0
Metlakatla First Nation,673,BC,PO BOX 459,,PRINCE RUPERT,BC,V8J 3R2
